7954275050,2016-03-15,17,K,17-No Stand (exc auth veh),88,88,0833A,,,357081,T301,88,T,DER7581,PAS,NY,Fleet Pl,SUBN,WHITE,NISSA,2001
7954275073,2016-03-15,62,K,62-Beyond Marked Space,88,88,0837A,,,357081,T301,88,T,FRC9833,PAS,NY,Fleet Pl,SUBN,GY,NISSA,2005
5091009644,2016-03-30,7,,FAILURE TO STOP AT RED LIGHT,-1,0,0612A,,,0,,0,V,CJK6566,PAS,NY,SUNRISE HWY (W/B) @,2DSD,RD,HONDA,2003
5091009656,2016-03-30,7,,FAILURE TO STOP AT RED LIGHT,-1,0,0612A,,,0,,0,V,XAYS24,PAS,NJ,QUEENS BLVD (E/B) @,TRK,GY,INTER,2012
5091009723,2016-03-30,7,,FAILURE TO STOP AT RED LIGHT,-1,0,0621A,,,0,,0,V,FEJ8708,PAS,NY,4TH AVE (S/B) @ 60TH,4DSD,RD,TOYOT,2007
5091009784,2016-03-30,7,,FAILURE TO STOP AT RED LIGHT,-1,0,0627A,,,0,,0,V,CVW5248,PAS,NY,HOYT AVE (S/B) @ 31S,2DSD,GY,HONDA,2007
5091009796,2016-03-30,7,,FAILURE TO STOP AT RED LIGHT,-1,0,0628A,,,0,,0,V,DUG8256,PAS,NY,WILLIAMSBURG ST (S/B,SUBN,BK,CHEVR,2011
5091009826,2016-03-30,7,,FAILURE TO STOP AT RED LIGHT,-1,0,0635A,,,0,,0,V,DJE5552,PAS,NY,ASTORIA BLVD S (E/B),SUBN,WH,TOYOT,2007
5091009838,2016-03-30,7,,FAILURE TO STOP AT RED LIGHT,-1,0,0636A,,,0,,0,V,EXR3470,PAS,NY,VICTORY BLVD (E/B) @,SUBN,WH,LEXUS,2010
5091009840,2016-03-30,7,,FAILURE TO STOP AT RED LIGHT,-1,0,0637A,,,0,,0,V,81887MG,COM,NY,CLOVE RD (N/B) @ CHE,VAN,WH,DODGE,2015
5091009851,2016-03-30,7,,FAILURE TO STOP AT RED LIGHT,-1,0,0638A,,,0,,0,V,2J66A,OMT,NY,ATLANTIC AVE (E/B) @,TAXI,YW,TOYOT,2014
5091009899,2016-03-30,7,,FAILURE TO STOP AT RED LIGHT,-1,0,0644A,,,0,,0,V,BPG9281,PAS,NY,WB QUEENS BLVD @ 58T,4DSD,GY,NISSA,2001
5091009917,2016-03-30,7,,FAILURE TO STOP AT RED LIGHT,-1,0,0646A,,,0,,0,V,AEA6140,PAS,NY,EB QUEENS BLVD @ 71S,SUBN,RD,KIA,2007
5091009942,2016-03-30,7,,FAILURE TO STOP AT RED LIGHT,-1,0,0655A,,,0,,0,V,ENM7427,PAS,NY,ATLANTIC AVE (W/B) @,SUBN,GR,ACURA,2002
5091009966,2016-03-30,7,,FAILURE TO STOP AT RED LIGHT,-1,0,0657A,,,0,,0,V,CBK2483,PAS,NY,HORACE HARDING EXPWY,4DSD,GY,VOLKS,2008
5091009978,2016-03-30,7,,FAILURE TO STOP AT RED LIGHT,-1,0,0659A,,,0,,0,V,FSV1001,PAS,NY,SO GANNON AVE (E/B),SUBN,WH,ME/BE,2006
5091009980,2016-03-30,7,,FAILURE TO STOP AT RED LIGHT,-1,0,0700A,,,0,,0,V,DGJ9894,PAS,NY,BEACH CHANNEL DR (S/,SUBN,MR,TOYOT,1997
5091010002,2016-03-30,7,,FAILURE TO STOP AT RED LIGHT,-1,0,0703A,,,0,,0,V,CUK4047,PAS,NY,MILFORD DR (E/B) @ C,4DSD,BL,HONDA,2004
5091010014,2016-03-30,7,,FAILURE TO STOP AT RED LIGHT,-1,0,0704A,,,0,,0,V,CHU8345,PAS,NY,NORTHERN BLVD (W/B),4DSD,BK,HONDA,2016
5091010038,2016-03-30,7,,FAILURE TO STOP AT RED LIGHT,-1,0,0706A,,,0,,0,V,FRC5302,PAS,NY,BEACH CHANNEL DR (W/,4DSD,GY,SATUR,2002
5091010040,2016-03-30,7,,FAILURE TO STOP AT RED LIGHT,-1,0,0707A,,,0,,0,V,67773LA,OML,NY,FRANCIS LEWIS BLVD (,BUS,GY,FORD,2006
5091010063,2016-03-30,7,,FAILURE TO STOP AT RED LIGHT,-1,0,0711A,,,0,,0,V,FGD7523,PAS,NY,PENNSYLVANIA AVE (S/,SUBN,GY,MAZDA,2003
5091010087,2016-03-30,7,,FAILURE TO STOP AT RED LIGHT,-1,0,0712A,,,0,,0,V,DTN1538,PAS,NY,BROADWAY (S/B) @ SHE,4DSD,GY,INFIN,2003
5091010154,2016-03-30,7,,FAILURE TO STOP AT RED LIGHT,-1,0,0715A,,,0,,0,V,FWT9095,PAS,NY,ASTORIA BLVD (W/B) @,4DSD,WH,ME/BE,2013
5091010178,2016-03-30,7,,FAILURE TO STOP AT RED LIGHT,-1,0,0716A,,,0,,0,V,EEY1671,PAS,NY,ARTHUR KILL RD (W/B),SUBN,RD,ACURA,2002
5091010210,2016-03-30,7,,FAILURE TO STOP AT RED LIGHT,-1,0,0719A,,,0,,0,V,D6P774,PAS,NY,PENNSYLVANIA AVE (S/,2DSD,BL,TOYOT,2007
5091010245,2016-03-30,7,,FAILURE TO STOP AT RED LIGHT,-1,0,0723A,,,0,,0,V,DLZ4672,PAS,NY,HORACE HARDING EXPWY,SUBN,BK,BMW,2006
5091010257,2016-03-30,7,,FAILURE TO STOP AT RED LIGHT,-1,0,0723A,,,0,,0,V,FWE5208,PAS,NY,HORACE HARDING EXPWY,SUBN,RD,HONDA,2003
5091010269,2016-03-30,7,,FAILURE TO STOP AT RED LIGHT,-1,0,0724A,,,0,,0,V,39396MD,COM,NY,ATLANTIC AVE (E/B) @,DELV,WH,INTER,2014
5091010282,2016-03-30,7,,FAILURE TO STOP AT RED LIGHT,-1,0,0725A,,,0,,0,V,DVT1758,PAS,NY,MILFORD DR (E/B) @ C,PICK,BK,FORD,2007
5091010294,2016-03-30,7,,FAILURE TO STOP AT RED LIGHT,-1,0,0726A,,,0,,0,V,FRN6260,PAS,NY,ASTORIA BLVD (W/B) @,PICK,GY,NISSA,2011
5091010300,2016-03-30,7,,FAILURE TO STOP AT RED LIGHT,-1,0,0729A,,,0,,0,V,FZJ5116,PAS,NY,HOYT AVE (S/B) @ 31S,4DSD,GY,TOYOT,2012
5091010324,2016-03-30,7,,FAILURE TO STOP AT RED LIGHT,-1,0,0730A,,,0,,0,V,FGW6963,PAS,NY,RICHMOND RD (E/B) @,SUBN,GY,FORD,2007
5091010348,2016-03-30,7,,FAILURE TO STOP AT RED LIGHT,-1,0,0732A,,,0,,0,V,AUB6885,PAS,NY,SB OCEAN PKWY @ AVEN,SUBN,BL,CHEVR,2003
5091010350,2016-03-30,7,,FAILURE TO STOP AT RED LIGHT,-1,0,0732A,,,0,,0,V,EV159J,PAS,NY,HORACE HARDING EXPWY,2DSD,TN,HONDA,2002
5091010373,2016-03-30,7,,FAILURE TO STOP AT RED LIGHT,-1,0,0735A,,,0,,0,V,ESA6737,PAS,NY,REMSEN AVE (N/B) @ L,4DSD,DKRD,TOYOT,1998
8232500554,2016-03-29,46,Q,46A-Double Parking (Non-COM),107,107,0230P,,,356538,T402,107,T,FDE6242,PAS,NY,162nd St,SUBN,BL,TOYOT,2006
8232500566,2016-03-29,70,Q,70A-Reg. Sticker Expired (NYS),107,107,0233P,,,356538,T402,107,T,BBH9759,PAS,NY,162nd St,SUBN,BK,TOYOT,0
8232500578,2016-03-29,70,Q,70A-Reg. Sticker Expired (NYS),107,107,0236P,,,356538,T402,107,T,DPC4357,PAS,NY,162nd St,SUBN,GY,ME/BE,2006
8232500621,2016-03-29,71,Q,71-Insp. Sticker Missing (NYS,107,107,0413P,,,356538,T402,107,T,FFD5293,PAS,NY,Henley Rd,SUBN,RD,DODGE,2008
8232500633,2016-03-29,70,Q,70A-Reg. Sticker Expired (NYS),107,107,0419P,,,356538,T402,107,T,FTG6722,PAS,NY,Devonshire Rd,SUBN,GREY,FORD,2006
8232500657,2016-03-29,38,Q,38-Failure to Display Muni Rec,107,107,0505P,,,356538,T402,107,T,DBB6904,PAS,NY,164th St,4DSD,GY,FORD,2008
8232500712,2016-03-29,46,Q,46A-Double Parking (Non-COM),107,107,0616P,,,356538,T402,107,T,BNV6108,PAS,NY,69th Ave,SUBN,BK,FORD,2010
8232500736,2016-03-29,38,Q,38-Failure to Display Muni Rec,107,107,0627P,,,356538,T402,107,T,AGN5042,PAS,NY,164th St,SUBN,GY,JEEP,2011
